Index | Parent Index | State
    0 |            0 | 4 7 8 2 1 5 3 6 0
    1 |            0 | 4 7 8 2 1 5 3 0 6
    4 |            1 | 4 7 8 2 1 5 0 3 6
   12 |            4 | 4 7 8 0 1 5 2 3 6
   23 |           12 | 4 7 8 1 0 5 2 3 6
   47 |           23 | 4 7 8 1 5 0 2 3 6
   85 |           47 | 4 7 0 1 5 8 2 3 6
  146 |           85 | 4 0 7 1 5 8 2 3 6
  252 |          146 | 0 4 7 1 5 8 2 3 6
  444 |          252 | 1 4 7 0 5 8 2 3 6
  735 |          444 | 1 4 7 2 5 8 0 3 6
 1201 |          735 | 1 4 7 2 5 8 3 0 6
